feature,importance_mean,importance_std
tpt,0.38266362156602896,0.01596684357067157
customer_order_frequency,0.025540779555316327,0.0021327055886080104
log_weight,0.013750918119238998,0.0035080414500183827
plant_customer_frequency,0.008416050920697993,0.002211335835530942
weight,0.008298778932673412,0.0021303521364667683
unit_quantity,0.004823076968165585,0.001999687905853839
plant_code,0.004723107528891446,0.0003951237815998709
log_unit_quantity,0.004609986862849957,0.0026121966703718134
product_order_frequency,0.003947618775168538,0.0020080751280805976
plant_supported_product_count,0.0037356666605089296,0.0003943866103655491
vmi_rule_satisfied,0.0030678765430851686,0.0013477916061157757
plant_origin,0.0029470772173222693,0.0004405268493498959
plant_daily_capacity,0.0029470772173222693,0.0004405268493498959
plant_warehouse_cost_per_unit,0.0027500676896839325,0.0003936515001877972
plant_utilization_ratio,0.0026516548146369836,0.0004509844492608759
has_vmi_rule,0.0024975665754914944,0.0013336922313874897
is_shipped_ahead,0.0024913650070935377,0.001357443768788407
plant_product_frequency,0.001989825930859568,0.0015423236361235195
plant_total_order_count,0.0018645350784607384,0.00029468883254279987
log_weight_per_unit,0.0014223456252290601,0.001334858802109788
ship_ahead_day_count,0.0011804058253960027,0.0013161149208245114
plant_order_frequency,0.0011771110667268881,0.0005899274576836478
number_of_plants_that_support_product,0.0011079280342562669,0.0015457219343455544
weight_per_unit,0.0008398411034065134,0.0018848952540880576
product_is_single_plant_supported,0.0007267849520013914,0.0009698224911028391
plant_over_capacity_flag,0.0,0.0
origin_port,0.0,0.0
origin_port_frequency,0.0,0.0
plant_capacity_risk_80_flag,0.0,0.0
customer_product_frequency,-0.0002539585725819804,0.001522161652044378
ship_late_day_count,-0.0009786461485260523,0.0
is_late,-0.0009786461485260523,0.0
